index|VINHO|1970|1971|1972|1973|1974|1975|1976|1977|1978|1979|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|TIPO
31|Grenache|19753|22418|18488|4924|19945|30867|1541|15367|13012|6100|6268|12138|17212|12094|16473|0|15851|6043|12090|18136|3289|1305|484|406|0|0|0|0|0|0|298|0|0|0|0|0|0|0|0|0|0|1180|0|0|0|0|0|0|0|nd|1130|1715870|TINTAS
32|Jaen|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|576|2824|4290|215|1037|3642|0|0|0|0|0|0|0|0|0|nd|0|0|TINTAS
33|Lagrein|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|190|420|670|5670|3288|800|15300|750|1400|0|1430|2700|nd|3020|94970|TINTAS
34|Lambrusco|2259|2670|100|0|0|0|0|0|0|949|3566|13886|300|13145|28317|14360|6245|7887|5543|52860|15560|23396|32453|2985|67420|14287|20805|46645|45240|67305|45815|82657|143175|156548|113831|96040|75631|96068|113388|111537|68480|94480|52740|56120|29890|39990|19784|61779|44511|nd|29320|3221972|TINTAS
35|Malbec|4097|4884|0|200|6167|2012|1992|2219|2228|2017|0|12745|14466|18205|22839|39347|23431|10121|64701|37043|69305|50169|125463|63531|85941|58659|205117|63518|12977|43135|105730|45079|65886|69353|98686|133965|148733|399928|414138|393256|318059|636608|629019|590041|616160|624096|267885|740327|628780|nd|493966|8502206|TINTAS
36|Marzemina|62546|66569|138699|49930|136790|132188|129224|132412|94683|191801|91706|108290|88008|115906|231695|352748|159440|162480|244605|203600|143957|106385|105326|93335|84677|55191|49350|42699|1390|0|7765|12261|25121|11607|8303|16200|9185|0|0|0|0|5460|0|0|4180|750|0|0|0|nd|0|0|TINTAS
37|Merlot|185596|164533|198870|263765|1050036|1409406|1538351|2257565|2793801|3240761|1907623|4618249|5762774|3099201|4939522|6965153|4775740|4310762|6278832|6258967|6440525|4275871|5014804|4827232|5881174|4320777|4230298|5443902|3188079|5071616|6223276|4962355|5836525|6826491|9886980|10632174|8449561|11399362|11866618|8876279|6179006|12510489|9645204|10179782|7846034|8030882|3286035|8309646|6257492|nd|6010486|494356|TINTAS
38|Marselan|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|28868|66815|109574|181823|228360|200025|339023|261314|345504|404323|411105|205095|385945|384278|nd|449156|154348|TINTAS
39|Molinera|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|692|650|100|1080|990|1009|1023|1080|324|1480|1900|nd|2198|569|TINTAS
40|Montepulciano|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|20721|21150|24390|30820|34060|21190|17959|21115|27678|41888|26280|25640|13330|28008|23306|nd|22968|28485|TINTAS
41|Moscato Bailey|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|152136|nd|206348|3541181|TINTAS
42|Napa Gamay|0|0|0|0|0|0|0|0|0|0|0|0|0|0|107495|9665|0|0|102650|57830|193570|149800|194760|283550|258640|254730|348190|270240|238000|216540|290790|248160|136760|39250|265240|225660|114690|175040|179050|74640|0|31410|86650|55550|16380|8970|0|0|0|nd|0|0|TINTAS
43|Nebbiolo|0|0|0|0|0|0|0|0|0|700|1400|0|600|0|0|0|357|4000|6454|0|28600|226893|200187|0|0|16293|89670|13639|12305|0|80|0|0|4000|4664|6671|11082|13971|10019|14148|11986|21342|37530|9327|7223|12754|3117|5494|9236|nd|8642|254738|TINTAS
44|Petit Verdot|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|14994|41706|45425|57029|50933|56031|109942|127549|102402|167522|75010|135770|116266|230640|83552|nd|228503|277189|TINTAS
45|Petite Sirah|0|0|0|0|0|0|0|0|0|0|0|0|0|836158|33693|73075|99786|61205|140196|223434|208765|86215|102830|92638|117771|112839|92374|222324|78455|109791|177654|109805|106091|28210|64909|137568|87550|99577|77759|121525|29457|98861|149196|105934|47834|48483|24564|92818|110361|nd|174949|198152|TINTAS
46|Pinotage|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5861|15236|13483|9527|19945|44697|76979|97269|231618|286349|409495|367315|641203|524028|629762|935337|1851305|1432456|1111531|1181440|1471881|1994817|996781|1113861|1578657|978575|644072|1075863|863296|816883|479202|560195|119773|474105|398794|nd|302532|1281674|TINTAS
47|Pinot Noir|0|0|13440|10433|18178|14724|2204|1368|1538|2217|20601|7076|10948|14049|37268|127953|202820|125181|350891|360511|409901|320721|421419|467644|573840|505493|604623|594713|276386|471462|621890|479490|496588|443895|1054529|1704403|1161465|1270351|1930823|1387200|1309849|2513274|2799071|2392357|2592701|3125882|1279105|3676000|3240209|nd|3588106|6184345|TINTAS
48|Pinot Saint George|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|47600|45000|83400|67500|118160|84550|159380|187870|199540|189480|209420|210980|171750|195560|255810|121430|114360|10840|114110|176810|48830|72560|28170|29180|0|7600|20920|14120|2480|0|0|0|0|nd|0|0|TINTAS
49|Piriquita|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|12845|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|TINTAS
50|Rebo|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|550|3000|7610|4240|1650|27620|16440|19780|13420|22290|12470|44440|94480|nd|177172|15912|TINTAS
51|Refosco|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|37155|42207|26537|17415|59340|10430|9466|18705|12120|12080|13240|9310|3260|5240|7320|nd|0|380|TINTAS
52|Rondinella|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|668|648|100|1150|1020|1089|1053|1110|333|1899|1990|nd|2340|684860|TINTAS
53|Ruby Cabernet|0|0|0|0|0|0|0|0|0|0|0|0|0|0|204|426|21|700|6800|4678|0|0|220|2119|5813|13553|16653|17004|16033|24678|42699|76483|178033|264363|595080|546629|654931|782800|679484|532095|379720|582497|470683|526124|486527|388019|220231|382994|248992|nd|218783|78412|TINTAS
54|Sangiovese|27566|59316|62175|38315|59834|63279|46663|71194|49178|131721|166706|162563|182898|173104|173005|144839|77509|90701|118475|96497|59620|244050|254588|34344|99024|13099|8042|3312|0|0|684|1306|15572|33400|127049|190769|133402|115475|405224|303438|258484|359833|280756|277679|122632|135962|26601|89404|63832|nd|85292|3324793|TINTAS
55|Sira (falsa)|3127989|3886509|3299301|2179909|2623809|4303504|3705465|2780195|3004243|3141820|2067161|2015864|2113514|484585|1176744|1272377|695871|520216|228050|191080|182243|46003|45992|43674|4781|5327|0|28137|0|0|0|807|0|559|4792|0|0|0|14145|0|0|0|0|0|0|0|0|0|0|nd|0|0|TINTAS
56|Tannat|0|0|0|0|0|0|0|0|0|0|0|0|0|65320|65320|43800|68352|43762|129001|137749|351017|532348|1153030|948885|2153279|1791208|1762327|1511421|1270299|2077578|3487128|2051940|1893300|2285423|3263479|4561255|3055931|3514880|4711255|4199190|2266985|4152135|4585214|3612439|2644014|2761604|985207|3668851|2940306|nd|3571972|2634802|TINTAS
57|Tempranillo|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|12160|59028|96125|111158|192063|241017|242484|63526|256836|283929|219163|119398|182579|210551|357637|278456|nd|442330|968038|TINTAS
58|Teroldego|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7193|41912|51645|61659|69876|105372|68593|179095|157368|124542|87820|97455|34019|87034|77625|nd|106764|717757|TINTAS
59|Torrontes|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4300|3090|9580|10070|1490|14630|16350|nd|9700|0|TINTAS
60|Tinta Barroca|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6520|12870|6710|0|0|0|0|0|0|0|0|0|nd|0|0|TINTAS
