index|VINHO|1970|1971|1972|1973|1974|1975|1976|1977|1978|1979|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|TIPO
50|Niagara|631152|239017|253262|112917|2476453|2409319|1035298|2468965|3239522|3589475|4030127|6714199|9863766|4496756|8308736|14685699|9191120|12590860|18884834|17211883|20800524|17234514|12657729|21246181|21892480|22138607|14560449|30382883|16338939|1467529|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|BRANCAS E ROSADAS
51|Niagara Branca|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|245263|0|0|0|0|94323|0|15406|0|0|26743235|29969046|34145485|36195634|31185522|41747941|37394435|32398672|33749294|43629972|30822840|35971072|47581756|47325170|37574776|27973518|50329681|12925747|30802497|42948315|nd|28672956|5574368|BRANCAS E ROSADAS
52|Niagara Rosada|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|118763|477502|245082|388417|919565|1552087|1454485|1391996|6321306|4312102|5387168|10125596|16150486|10417448|9527834|12632861|12605714|8736346|10383783|14753481|9975809|12553768|14831369|14040879|10312310|9552430|15706093|4236495|11464265|12308714|nd|8740991|2170241|BRANCAS E ROSADAS
53|Poloske|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2250|12100|11180|nd|14191|402953|BRANCAS E ROSADAS
54|Seleções|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2360|5370|4280|0|0|2022|0|0|0|1500|0|0|0|nd|0|0|BRANCAS E ROSADAS
55|Seyve Villard|0|0|145444|0|0|11830|0|84230|182406|1099552|294858|620207|3756931|4095059|5284971|5234899|3649876|2777664|5881237|4991879|4182609|2813847|3066943|3360192|2818418|3092325|2311312|0|1564884|1741794|982857|726630|423282|994378|1029919|952715|915917|1139845|1156969|1094276|873170|1007735|839003|781787|700473|657086|312824|586955|462683|nd|313488|0|BRANCAS E ROSADAS
56|Seyve Villard 5276|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|661492|494908|260294|406600|449229|305108|242528|242415|151456|180410|107521|91960|60000|206295|139575|nd|57423|97368|BRANCAS E ROSADAS
57|Seyve Villard 12375|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|117279|0|0|0|0|0|0|0|0|154343|0|0|2219710|63233|426691|1447387|936740|867152|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|61942|BRANCAS E ROSADAS
58|Tardia de Caxias|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|25735|19580|23276|11345|12420|10383|40003|15971|8437|21921|27285|28853|13430|14890|17711|3440|6170|5380|nd|8150|33870|BRANCAS E ROSADAS
59|Outras(2)|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|49576|17180|0|338394|57504|15682|68967|711372|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|BRANCAS E ROSADAS
1| Alphonse Lavallee|31878|2333|170|7690|124762|74293|23684|24430|17339|88822|23451|12094|7662|2989|4380|17553|5147|12670|0|0|0|0|0|0|0|0|0|0|0|0|0|3613|0|0|0|1500|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|TINTAS
2| Moscato de Hamburgo|25098|41057|4258|1249|801|109438|64828|89161|90655|72067|45312|43680|20248|5165|1590|0|2205|0|0|0|0|0|0|0|0|0|0|0|0|0|13877|20047|23239|7366|49698|48320|36105|66970|101101|84397|31771|89305|145132|75362|65850|108797|51310|85510|62567|nd|63474|21732|TINTAS
4| Cardinal|0|0|0|0|0|0|0|0|0|0|2235|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1620|0|0|4610|0|0|0|0|0|0|0|0|0|0|nd|0|0|BRANCAS
5| Golden Queen|167|8654|657|7312|8467|6805|0|2391|8715|2051|2765|0|0|0|1545|4921|3358|1321|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|BRANCAS
6| Patrícia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|20515|23661|42357|75480|6172|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|BRANCAS
7| Perlona|0|0|4027|0|1695|1223|1406|0|0|11377|10722|14467|13971|4948|10735|10548|10753|64694|0|0|0|0|0|0|0|0|0|0|0|0|581598|94352|58566|61178|33155|32105|14569|25899|37376|11335|10375|5575|9695|3378|850|3280|290|180|730|nd|0|1710|BRANCAS
8| Italia|3733|7681|2145|740|268789|579717|152039|227941|235436|134574|59022|36849|39189|14126|1945|5877|18855|4112|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|33860|1630|3320|5130|2300|0|0|0|0|0|0|0|0|0|0|nd|0|0|BRANCAS
9| Rubi (Itália, Itália Ro)|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4115|0|5590|11011|3105|1200|13883|52869|1034|29750|61260|2970|5720|0|nd|45610|51050|BRANCAS
