Id|País|1970|1971|1972|1973|1974|1975|1976|1977|1978|1979|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|TIPO
54|San Marino|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1095|VINHOS DE MESA
55|Sérvia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3471|VINHOS DE MESA
56|Síria|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|398|0|641|0|484|VINHOS DE MESA
57|Suíça|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1900|4658|3841|4222|0|1194|4860|2483|0|0|0|0|1125|6|138|559|4510|735|7|VINHOS DE MESA
58|Tcheca, República|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|225|VINHOS DE MESA
59|Tunísia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|16420|19913|8000|0|0|0|0|0|0|0|0|VINHOS DE MESA
60|Turquia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|32247|0|0|1591|0|17563|0|VINHOS DE MESA
61|Ucrânia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5319|865|0|4646|0|0|VINHOS DE MESA
62|Uruguai|5767|1917|7394|0|0|0|0|24191|32371|13320|8880|0|0|0|0|0|0|0|0|0|0|0|11247|33040|35219|33150|72000|89117|277989|1712036|1961733|1668697|1247891|1096094|660522|512973|715474|2387225|920389|750343|1219387|1264306|1323884|1372329|1237537|1399547|2215692|5009098|2836574|2778244|4079076|3788831|VINHOS DE MESA
63|Não consta na tabela|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|63755|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|VINHOS DE MESA
64|Não declarados|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|21185|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|VINHOS DE MESA
65|Outros|5508|77789|79052|4306|21501|18132|10200|450|1347|2411|10446|17133|22104|6738|26490|5400|15717|28|435|10788|65835|97662|24465|146730|174758|200336|127039|186470|187919|49646|73451|47256|64069|0|0|13970|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|VINHOS DE MESA
1|Africa do Sul|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5546|59|520|275|90|9212|10381|8121|20213|24954|26985|18659|19686|7394|4913|15368|17583|3574|6980|ESPUMANTES
2|Alemanha|0|25|2864|2900|1667|355|1947|840|420|1020|332|753|117270|215712|3360|0|32490|1800|450|9000|12613|11275|6059|39747|37942|75829|22766|8648|9403|1980|1130|6516|7034|3114|22785|888|1170|1980|1959|1170|1116|810|1260|1247|5093|3647|3420|4819|18376|26853|21174|19977|ESPUMANTES
3|Argentina|4980|8811|35301|39208|2831|11120|0|0|180|13500|0|0|0|0|0|0|270|0|315|5176|4500|24889|7020|17205|8270|17382|567|11139|85497|86940|114511|32464|17096|143659|1008169|1135922|1713270|556320|1015357|894550|1086901|997492|963574|702963|807366|490536|358510|661857|706478|757716|469547|723847|ESPUMANTES
4|Austrália|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1136|0|1310|1125|675|855|495|225|0|45|0|30|0|4967|19182|19198|57917|16701|7426|8062|ESPUMANTES
5|Austria|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|756|0|0|0|180|720|698|0|0|0|1228|1269|909|90|ESPUMANTES
6|Bermudas|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|70|ESPUMANTES
7|Bahamas|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|73|60|519|169|0|0|0|ESPUMANTES
8|Bélgica|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|923|0|0|0|0|ESPUMANTES
9|Brasil|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5357|9801|16225|4092|1072|0|468|6210|60601|10195|8606|6383|1014|6166|566215|15464|3491|548|ESPUMANTES
10|Bulgaria|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|222|4|0|3|0|0|0|0|ESPUMANTES
11|Canada|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3852|0|0|0|ESPUMANTES
12|Chile|0|0|201|328|180|672|10980|630|45|0|861|18090|14865|900|4200|0|900|450|0|7449|540|10800|0|1560|4590|24237|26686|2565|7877|18020|11250|15695|6300|16200|25920|38290|29806|49400|84673|39533|68562|66639|137790|123026|133935|236342|117678|304391|316293|233064|253225|232948|ESPUMANTES
13|Croácia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|225|0|0|0|0|0|0|ESPUMANTES
14|Cuba|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|29|0|0|0|0|0|0|ESPUMANTES
15|Emirados Arabes Unidos|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|104|2371|0|0|0|0|0|ESPUMANTES
16|Eslovênia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|78|0|445|1058|2115|2093|1800|518|68|450|ESPUMANTES
17|Espanha|12981|7865|27461|40172|41971|54863|17299|31319|38780|44226|45842|25685|46249|17190|12824|19005|43920|35910|41070|58995|121856|92798|63633|172218|182952|269731|198872|259100|253355|251511|230327|713315|166433|164545|209973|213074|250377|254317|266955|388452|512539|831585|1054367|850428|925502|899587|864154|1493908|1515106|1440241|1421655|2016806|ESPUMANTES
18|Estados Unidos|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|990|1575|0|2808|1800|3240|12417|7119|11387|4553|15461|15698|27023|18519|12343|8408|26405|13239|13255|143|ESPUMANTES
19|França|18458|26523|35899|49453|83575|17770|16295|24584|51710|27554|13235|14555|13128|16253|11308|35317|37062|15550|32809|52601|32371|33945|15001|54501|209274|234968|272978|760944|779564|1158921|979713|182179|669778|965033|746383|931767|1096043|1079332|991608|1130768|1462949|1802575|1852431|1491052|1230946|1341884|1171383|1778528|3637804|1610293|1116188|1134059|ESPUMANTES
20|Grecia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|113|329|577|0|156|0|230|0|92|ESPUMANTES
