Id|País|1970|1971|1972|1973|1974|1975|1976|1977|1978|1979|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|TIPO
48|Estados Unidos|11200|22400|40333|36054|56769|286712|124352|456371|130562|248154|128947|132264|88704|64512|32256|32256|132813|77445|1058917|2518993|2533882|2477748|4820749|6248089|5674894|6131483|7874611|8741057|165010|1451|2151|3576|6800|25467|98265|338497|392590|479269|443895|372319|228968|306787|146585|245368|222267|195896|258072|132688|169109|209765|300178|111085|VINHOS DE MESA
49|Estônia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1974|77697|4114|5438|15848|450|3321|0|0|0|900|0|0|0|0|0|VINHOS DE MESA
50|Filipinas|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9608|736|719|2784|VINHOS DE MESA
51|Finlândia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|81648|151632|104886|104004|58320|46656|40824|31176|23328|17496|16335|16830|11088|0|0|0|0|12404|17100|36682|12960|0|7617|0|0|0|0|0|VINHOS DE MESA
52|França|0|220|0|238|792|0|0|0|0|0|0|0|0|0|0|9913|0|2580|131|3015|9515|1080|13884|7166|20586|20580|24186|20586|0|2213|600|4820|9000|0|1497|91166|17010|6349|11078|0|3614|0|195604|6885|33755|1596|6037|4253|11077|18286|12622|7052|VINHOS DE MESA
53|Gana|0|0|0|0|0|0|0|0|0|355|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|259|0|270|162|95|0|0|18168|0|0|0|0|0|0|0|0|0|9000|7673|18810|12578|VINHOS DE MESA
54|Gibraltar|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|23|769|0|VINHOS DE MESA
55|Grécia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|142|0|0|0|0|0|0|0|0|0|0|0|232|561|6859|908|VINHOS DE MESA
56|Guatemala|0|0|0|0|0|0|0|0|0|0|86|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8509|0|0|0|0|0|0|0|0|0|0|0|20|0|0|0|0|0|0|0|0|0|1597|0|17347|VINHOS DE MESA
57|Guiana|114|0|252|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|783|0|0|0|0|0|0|0|0|424|990|2372|VINHOS DE MESA
58|Guiana Francesa|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|90|VINHOS DE MESA
59|Guine Bissau|0|0|0|0|0|0|0|0|122|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|13000|0|0|0|0|0|0|0|0|0|0|0|48|0|0|0|0|VINHOS DE MESA
60|Guine Equatorial|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|548|169|410|956|819|1108|5646|0|0|2639|8389|0|0|0|VINHOS DE MESA
61|Haiti|0|0|1008|1008|0|0|0|0|0|0|0|1858|0|0|0|996|0|0|0|180|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|20|4500|2700|0|0|0|0|0|0|0|79500|81873|399128|670379|VINHOS DE MESA
62|Honduras|0|0|0|800|0|400|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2025|0|6874|7606|8952|8960|8953|0|8963|8963|0|0|7918|0|0|0|0|0|162|14|0|0|0|0|0|0|0|0|0|0|0|0|VINHOS DE MESA
63|Hong Kong|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2430|50319|0|2063|1609|16013|18130|1229|6975|1934|1742|9651|15159|12507|VINHOS DE MESA
64|Hungria|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|540|0|0|0|0|0|0|0|0|0|0|87|VINHOS DE MESA
65|Ilha de Man|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|28|11|97|VINHOS DE MESA
66|Ilhas Virgens|0|0|0|0|0|0|0|0|0|5500|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|VINHOS DE MESA
67|India|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|14|0|0|0|0|0|0|0|0|0|0|0|0|51|7|13|VINHOS DE MESA
68|Indonésia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|0|VINHOS DE MESA
